date_of_calculation,code_of_stock,name_of_stock,name_of_short_seller,address_of_short_seller,name_of_discretionary_investment_contractor,address_of_discretionary_investment_contractor,name_of_investment_fund,ratio_of_short_positions_to_shares_outstanding,number_of_short_positions_in_shares,number_of_short_positions_in_trading_units,date_of_calculation_in_previous_reporting,ratio_of_short_positions_in_previous_reporting,notes
2025-02-13,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.009399999999999999,368309,3683.0,2025-02-12,0.0086,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2025-02-13,3350,Metaplanet Inc.,BNP Paribas Financial Markets SNC,"20 boulevard des Italiens, 75009 Paris",,,,0.0062,243340,2433.0,2025-02-07,0.0049,
2025-02-12,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0241,874925,8749.0,2025-02-10,0.0288,
2025-02-12,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.0086,339680,3396.0,2025-02-10,0.0068000000000000005,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2025-02-10,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.0068000000000000005,267973,2679.0,2025-02-07,0.0040999999999999995,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2025-02-10,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0288,1045925,10459.0,2025-02-05,0.0318,
2025-02-07,3350,Metaplanet Inc.,BNP Paribas Financial Markets SNC,"20 boulevard des Italiens, 75009 Paris",,,,0.0049,193540,1935.0,2025-01-21,0.005,
2025-02-05,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0318,1154525,11545.0,2025-02-04,0.036000000000000004,
2025-02-04,3350,Metaplanet Inc.,UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,0.0049,194360,1943.0,2025-01-31,0.008100000000000001,
2025-02-04,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.036000000000000004,1307825,13078.0,2025-02-03,0.0404,
2025-02-03,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0404,1466525,14665.0,2025-01-31,0.0391,
2025-01-31,3350,Metaplanet Inc.,UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,0.008100000000000001,318360,3183.0,2025-01-29,0.0059,
2025-01-31,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0391,1418641,14186.0,2025-01-30,0.04019999999999999,
2025-01-30,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.04019999999999999,1460941,14609.0,2025-01-29,0.0425,
2025-01-30,3350,Metaplanet Inc.,Integrated Core Strategies (Asia) Pte. Ltd.,"88 Market Street, #37-01, CapitaSpring, Singapore 048948",,,,0.0037,147200,1472.0,2025-01-29,0.0101,
2025-01-29,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0425,1544041,15440.0,2025-01-27,0.0449,
2025-01-29,3350,Metaplanet Inc.,UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,0.0059,231960,2319.0,2025-01-28,0.006,
2025-01-29,3350,Metaplanet Inc.,Integrated Core Strategies (Asia) Pte. Ltd.,"88 Market Street, #37-01, CapitaSpring, Singapore 048948",,,,0.0101,399500,3995.0,2025-01-28,0.008100000000000001,
